epochs,train_loss,test_loss,test_accuracy
1,"tensor(1.5807, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.0298, device='cuda:0')",73.36532693461308
2,"tensor(1.6954, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9274, device='cuda:0')",82.30353929214156
3,"tensor(0.9654, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4444, device='cuda:0')",86.5626874625075
4,"tensor(1.1731, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3555, device='cuda:0')",86.80263947210558
5,"tensor(0.7635, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3537, device='cuda:0')",88.6622675464907
6,"tensor(0.0664, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0801, device='cuda:0')",90.04199160167967
7,"tensor(0.3639, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3073, device='cuda:0')",89.74205158968206
8,"tensor(1.2199, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0786, device='cuda:0')",90.22195560887822
9,"tensor(0.1007, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0804, device='cuda:0')",90.76184763047391
10,"tensor(0.2070, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0636, device='cuda:0')",90.40191961607678
11,"tensor(0.4741, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1053, device='cuda:0')",90.94181163767247
12,"tensor(0.0488, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3217, device='cuda:0')",90.58188362327535
13,"tensor(0.3933, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0166, device='cuda:0')",90.58188362327535
14,"tensor(0.1364, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0277, device='cuda:0')",91.0617876424715
15,"tensor(0.0776, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0118, device='cuda:0')",90.52189562087582
16,"tensor(0.1732, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0344, device='cuda:0')",90.1619676064787
17,"tensor(0.0440, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0260, device='cuda:0')",90.40191961607678
18,"tensor(0.0029, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0215, device='cuda:0')",91.00179964007198
19,"tensor(0.0114, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5132, device='cuda:0')",90.70185962807439
20,"tensor(0.1438, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0271, device='cuda:0')",90.34193161367726
21,"tensor(0.1640, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0332, device='cuda:0')",90.22195560887822
