epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.2145, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.3701, device='cuda:0')",64.12717456508699
2,"tensor(0.8229, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.6075, device='cuda:0')",77.98440311937613
3,"tensor(1.0612, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6483, device='cuda:0')",81.94361127774445
4,"tensor(0.6785, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5243, device='cuda:0')",83.74325134973006
5,"tensor(0.3666, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2457, device='cuda:0')",86.80263947210558
6,"tensor(0.8104, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3005, device='cuda:0')",87.40251949610078
7,"tensor(0.4534, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1345, device='cuda:0')",87.94241151769646
8,"tensor(0.6701, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0866, device='cuda:0')",88.42231553689263
9,"tensor(0.3116, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1721, device='cuda:0')",88.84223155368926
10,"tensor(0.8010, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1930, device='cuda:0')",89.20215956808639
11,"tensor(0.0807, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1821, device='cuda:0')",88.12237552489502
12,"tensor(0.0689, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1106, device='cuda:0')",88.9622075584883
13,"tensor(0.2374, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1036, device='cuda:0')",88.9622075584883
14,"tensor(0.2738, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3380, device='cuda:0')",89.80203959208158
15,"tensor(0.4259, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1910, device='cuda:0')",88.12237552489502
16,"tensor(0.0056, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1819, device='cuda:0')",89.74205158968206
17,"tensor(0.2293, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0428, device='cuda:0')",88.72225554889022
18,"tensor(0.3125, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1616, device='cuda:0')",88.78224355128974
19,"tensor(0.2105, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2952, device='cuda:0')",89.44211157768446
20,"tensor(0.0957, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0326, device='cuda:0')",89.38212357528494
21,"tensor(0.1126, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0594, device='cuda:0')",89.26214757048591
