epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.3765, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.3914, device='cuda:0')",61.667666466706656
2,"tensor(1.4316, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.1157, device='cuda:0')",75.40491901619676
3,"tensor(0.6517, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6687, device='cuda:0')",80.98380323935213
4,"tensor(0.4313, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4286, device='cuda:0')",84.64307138572286
5,"tensor(1.5895, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2519, device='cuda:0')",85.84283143371326
6,"tensor(0.3420, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1854, device='cuda:0')",85.84283143371326
7,"tensor(0.8418, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1598, device='cuda:0')",88.12237552489502
8,"tensor(0.2531, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1482, device='cuda:0')",87.22255548890222
9,"tensor(0.2750, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1347, device='cuda:0')",88.12237552489502
10,"tensor(0.0861, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1130, device='cuda:0')",87.94241151769646
11,"tensor(0.3236, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1932, device='cuda:0')",88.60227954409118
12,"tensor(0.5725, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2541, device='cuda:0')",88.54229154169167
13,"tensor(0.2244, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0947, device='cuda:0')",88.6622675464907
14,"tensor(0.1341, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0507, device='cuda:0')",88.24235152969406
15,"tensor(0.0316, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0590, device='cuda:0')",88.18236352729454
16,"tensor(0.2738, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1311, device='cuda:0')",89.20215956808639
17,"tensor(0.1507, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0567, device='cuda:0')",88.54229154169167
18,"tensor(0.1235, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2687, device='cuda:0')",88.9622075584883
19,"tensor(0.0368, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0947, device='cuda:0')",88.6622675464907
20,"tensor(0.1883, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0826, device='cuda:0')",88.54229154169167
21,"tensor(0.2974, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.0907, device='cuda:0')",89.62207558488302
