epochs,train_loss,test_loss,test_accuracy
1,"tensor(0.9718, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.2147, device='cuda:0')",89.27038626609442
2,"tensor(0.1831, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.3388, device='cuda:0')",91.92352711666017
3,"tensor(0.6874, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.0650, device='cuda:0')",93.11353882169333
4,"tensor(0.5203, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9232, device='cuda:0')",94.01092469761997
5,"tensor(0.1696, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.7131, device='cuda:0')",94.3035505267265
6,"tensor(0.1229, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8468, device='cuda:0')",94.01092469761997
7,"tensor(0.0852, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6052, device='cuda:0')",94.4791260241904
8,"tensor(0.0837, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9601, device='cuda:0')",94.36207569254779
9,"tensor(0.1793, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.0299, device='cuda:0')",94.69371829886852
10,"tensor(0.0406, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8466, device='cuda:0')",94.32305891533359
11,"tensor(0.0070, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4906, device='cuda:0')",94.65470152165432
12,"tensor(0.0046, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.5862, device='cuda:0')",94.81076863051112
13,"tensor(0.8770, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.0187, device='cuda:0')",95.12290284822474
14,"tensor(0.5095, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.3387, device='cuda:0')",95.04486929379634
15,"tensor(0.0108, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8949, device='cuda:0')",95.18142801404603
16,"tensor(0.0139, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6865, device='cuda:0')",94.65470152165432
17,"tensor(0.0425, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9385, device='cuda:0')",94.77175185329692
18,"tensor(0.0035, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.1153, device='cuda:0')",94.96683573936792
19,"tensor(0.2784, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.1456, device='cuda:0')",94.94732735076083
20,"tensor(0.0030, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8415, device='cuda:0')",95.04486929379634
21,"tensor(0.0118, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9788, device='cuda:0')",95.02536090518923
