epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.7915, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.9524, device='cuda:0')",10.377924415116977
2,"tensor(2.4516, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.6012, device='cuda:0')",12.77744451109778
3,"tensor(2.4159, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.9714, device='cuda:0')",19.01619676064787
4,"tensor(2.4963, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.9499, device='cuda:0')",18.35632873425315
5,"tensor(2.4731, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.9515, device='cuda:0')",22.675464907018597
6,"tensor(2.6324, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.9699, device='cuda:0')",23.995200959808038
7,"tensor(2.5354, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.9455, device='cuda:0')",29.214157168566288
8,"tensor(2.3341, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.3297, device='cuda:0')",28.014397120575886
9,"tensor(2.0347, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.9839, device='cuda:0')",32.393521295740854
10,"tensor(2.1541, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.9824, device='cuda:0')",31.19376124775045
11,"tensor(2.2331, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.9146, device='cuda:0')",30.89382123575285
12,"tensor(1.2904, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.4705, device='cuda:0')",37.73245350929814
13,"tensor(1.4057, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.6142, device='cuda:0')",34.79304139172166
14,"tensor(1.8577, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.0503, device='cuda:0')",39.052189562087584
15,"tensor(1.6594, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.4992, device='cuda:0')",39.412117576484704
16,"tensor(2.1021, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.4847, device='cuda:0')",41.931613677264544
17,"tensor(1.9405, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.1213, device='cuda:0')",42.23155368926215
18,"tensor(1.8725, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.3721, device='cuda:0')",40.551889622075585
19,"tensor(1.7312, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.5980, device='cuda:0')",44.51109778044391
20,"tensor(1.5631, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.2754, device='cuda:0')",43.79124175164967
21,"tensor(2.7993, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.4811, device='cuda:0')",44.09118176364727
