epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.5967, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.4478, device='cuda:0')",15.896820635872825
2,"tensor(2.6157, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.1318, device='cuda:0')",19.01619676064787
3,"tensor(2.4060, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.4845, device='cuda:0')",20.57588482303539
4,"tensor(2.6786, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.0221, device='cuda:0')",23.035392921415717
5,"tensor(2.8792, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.3622, device='cuda:0')",24.65506898620276
6,"tensor(2.6035, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.0641, device='cuda:0')",26.51469706058788
7,"tensor(2.8048, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.5889, device='cuda:0')",28.614277144571087
8,"tensor(2.4727, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.3886, device='cuda:0')",28.734253149370126
9,"tensor(2.5175, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.3768, device='cuda:0')",29.634073185362926
10,"tensor(2.3827, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.1848, device='cuda:0')",27.894421115776844
11,"tensor(2.3348, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(3.8492, device='cuda:0')",32.033593281343734
12,"tensor(2.4409, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.1569, device='cuda:0')",31.73365326934613
13,"tensor(2.5202, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(5.4073, device='cuda:0')",33.05338932213557
14,"tensor(2.3802, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.3816, device='cuda:0')",31.013797240551888
15,"tensor(2.1808, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.4671, device='cuda:0')",33.533293341331735
16,"tensor(1.7236, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(5.1480, device='cuda:0')",34.43311337732454
17,"tensor(2.3445, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(5.3477, device='cuda:0')",33.77324535092981
18,"tensor(2.6443, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(5.2673, device='cuda:0')",34.673065386922616
19,"tensor(2.9000, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.6904, device='cuda:0')",35.27294541091781
20,"tensor(1.6211, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(4.8004, device='cuda:0')",35.09298140371926
21,"tensor(2.6193, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(5.1176, device='cuda:0')",35.392921415716856
