epochs,train_loss,test_loss,test_accuracy
1,2.8482127,2.9082658,76.84463107378524
2,2.6188984,2.78909,82.90341931613678
3,2.3426423,2.6562002,86.20275944811038
4,1.8908544,2.379536,88.42231553689263
5,1.2333847,1.9644476,89.80203959208158
6,0.9492534,1.50486,91.72165566886623
7,0.5555891,1.1918236,92.02159568086383
8,0.4725195,0.7855172,92.98140371925615
9,0.29737034,0.44790426,93.22135572885423
10,0.13549826,0.2588443,93.58128374325135
11,0.20863786,0.16552947,93.58128374325135
12,0.13392648,0.32479322,93.76124775044991
13,0.13991381,0.24950111,93.70125974805039
14,0.094305955,0.08567651,93.34133173365326
15,0.12935804,0.11606711,94.001199760048
16,0.16410959,0.079721265,93.4613077384523
17,0.17418683,0.12051821,94.06118776244752
18,0.12414877,0.058946043,93.70125974805039
19,0.103806354,0.045613814,94.12117576484702
20,0.14233932,0.24956356,94.001199760048
21,0.26493856,0.063563265,93.52129574085183
