epochs,train_loss,test_loss,test_accuracy
1,2.8304322,2.906329,77.20455908818236
2,2.5877323,2.7931259,82.54349130173965
3,2.226767,2.62751,86.26274745050989
4,1.8465233,2.3651178,88.12237552489502
5,1.1405581,1.913297,89.98200359928015
6,0.84500986,1.3850249,91.78164367126574
7,0.68333143,1.3961617,92.50149970006
8,0.3243106,0.3546174,93.34133173365326
9,0.31156003,0.32829556,93.28134373125376
10,0.32463425,0.497404,93.94121175764847
11,0.18346244,0.16391522,93.88122375524895
12,0.3922388,0.15196632,93.40131973605278
13,0.35152012,0.20925565,94.18116376724655
14,0.069433026,0.24527554,94.42111577684463
15,0.22584113,0.055957336,93.64127174565087
16,0.06046011,0.09231887,94.06118776244752
17,0.07117961,0.06925698,93.88122375524895
18,0.100852884,0.19000357,93.64127174565087
19,0.1310008,0.027673133,94.18116376724655
20,0.07206904,0.03705987,93.58128374325135
21,0.07876128,0.025800621,93.58128374325135
