epochs,train_loss,test_loss,test_accuracy
1,2.8895745,2.9321365,71.08578284343132
2,2.7050328,2.8631146,77.38452309538093
3,2.3402007,2.7291183,79.96400719856028
4,2.1365037,2.6044292,83.38332333533293
5,1.6742449,2.3437364,85.90281943611278
6,1.1070504,1.9313685,86.44271145770846
7,1.0507095,1.714336,87.28254349130174
8,0.66324055,1.1848122,89.8620275944811
9,0.5264407,0.78192586,92.32153569286143
10,0.43142673,0.63411194,91.66166766646671
11,0.627111,0.31970736,92.50149970006
12,0.3308113,0.34362724,92.50149970006
13,0.39896977,0.13476513,92.62147570485902
14,0.24907264,0.16898777,93.22135572885423
15,0.34338382,0.40999147,92.68146370725854
16,0.3399148,0.056695264,92.80143971205759
17,0.21677138,0.07637129,93.10137972405519
18,0.11487729,0.08468727,94.06118776244752
19,0.21079263,0.1769223,93.10137972405519
20,0.09461277,0.12166667,93.40131973605278
21,0.3959118,0.16054732,93.16136772645471
