epochs,train_loss,test_loss,test_accuracy
1,"tensor(2.6290, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(2.4614, device='cuda:0')",62.92741451709658
2,"tensor(1.6652, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(1.4284, device='cuda:0')",76.60467906418717
3,"tensor(0.7406, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.8548, device='cuda:0')",82.30353929214156
4,"tensor(0.5893, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4775, device='cuda:0')",85.0629874025195
5,"tensor(0.9001, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3868, device='cuda:0')",87.04259148170365
6,"tensor(0.8054, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4508, device='cuda:0')",87.88242351529694
7,"tensor(0.2895, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3573, device='cuda:0')",88.42231553689263
8,"tensor(0.4133, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3222, device='cuda:0')",89.02219556088782
9,"tensor(1.0211, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1904, device='cuda:0')",88.78224355128974
10,"tensor(0.4990, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4088, device='cuda:0')",89.14217156568687
11,"tensor(0.2489, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4131, device='cuda:0')",88.72225554889022
12,"tensor(0.2212, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6855, device='cuda:0')",88.9622075584883
13,"tensor(0.1304, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.6161, device='cuda:0')",89.98200359928015
14,"tensor(0.2666, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3914, device='cuda:0')",89.62207558488302
15,"tensor(0.3711, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4263, device='cuda:0')",90.10197960407919
16,"tensor(0.8696, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2491, device='cuda:0')",89.32213557288543
17,"tensor(0.3728, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.2370, device='cuda:0')",89.5620875824835
18,"tensor(0.0632, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.4110, device='cuda:0')",90.34193161367726
19,"tensor(0.2070, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.1628, device='cuda:0')",89.62207558488302
20,"tensor(0.2865, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3696, device='cuda:0')",90.58188362327535
21,"tensor(0.3469, device='cuda:0', grad_fn=<NllLossBackward>)","tensor(0.3173, device='cuda:0')",90.1619676064787
